(-0.045600039374495555, -0.7354555679337068, 0.014677773234075292)
(-0.042400496642660136, -0.7350934711077362, 0.044532364747418667)
(-0.03949635073867615, -0.7170628024498601, 0.07387902290591945)
(-0.03324484093494079, -0.692297353437103, 0.1028175247185656)
(-0.02799327612246596, -0.6885080903384008, 0.1323237043664677)
(-0.026065900529660752, -0.6698912812464177, 0.16162497677520551)
(-0.025402082254554408, -0.6700754811197149, 0.1914773345695744)
(-0.024440959068200863, -0.6662256559344165, 0.22117582752627746)
(-0.02258000149960102, -0.6616647953742305, 0.2508594173704921)
(-0.021159985419681934, -0.6665590687235372, 0.3559309922638764)
(0.5000002073511288, -6.59395433184013e-07, 0.014988980513537106)
