Time,Ctrl,QPos,QVel
0.022000000000000006,"-1.58344873,-2.0943951023931953,3.1389433908716526,-3.141592653589793,-1.57268012,0.00907312","-1.585895049692147,-2.266395818451312,2.7082989547132255,-2.06353797702777,-1.5726815738529492,0.009057739344195079","-0.09265192106308787,-1.7788024550125872,-0.12457063214449775,-0.3168004635386592,-0.0005853978118497831,0.0002463442717101225"
0.024000000000000007,"-1.58344873,-2.0943951023931953,-0.1493730645019915,-3.141592653589793,-1.57268012,0.00907312","-1.586059127667523,-2.2701216698175037,2.7082644241253537,-2.0642965399592605,-1.5726822891368233,0.00905811441283986","-0.08203898768810104,-1.8629256830957015,-0.017265293935873005,-0.3792814657452696,-0.0003576419370972456,0.00018753432239100194"
0.02600000000000001,"-1.58344873,-2.0943951023931953,-0.04835110439471757,-3.141592653589793,-1.57268012,0.00907312","-1.586170211499575,-2.2739546908856427,2.7082063610215386,-2.065121977587626,-1.5726843287196857,0.009058526557071558","-0.05554191602601782,-1.9165105340694033,-0.02903155190758279,-0.4127188141827014,-0.0010197914311345488,0.00020607211584921565"
0.02800000000000001,"-1.58344873,-2.0943951023931953,-0.0008475094050255372,-3.141592653589793,-1.57268012,0.00907312","-1.5862458822079308,-2.277873013571426,2.7081860325808123,-2.0660300086241215,-1.5726858442280298,0.009058970931684463","-0.0378353541778522,-1.9591613428915,-0.010164220363215855,-0.4540155182477742,-0.0007577541720542099,0.00022218730645263068"
0.030000000000000013,"-1.58344873,-2.0943951023931953,0.035084567424487734,-3.141592653589793,-1.57268012,0.00907312","-1.5862944187249977,-2.2818567099498788,2.7082179489876768,-2.0670264960048694,-1.5726870295857012,0.009059291770175748","-0.024268258533444345,-1.9918481892264823,0.015958203432180393,-0.4982436903740531,-0.000592678835682702,0.00016041924564266704"
0.032000000000000015,"-1.58344873,-2.0943951023931953,0.0492049804192245,-3.141578609576232,-1.57268012,0.00907312","-1.5863215384372846,-2.285890200712575,2.7083066772118203,-2.0681138270929686,-1.5726881471870438,0.009059605355282815","-0.013559856143522332,-2.0167453813482257,0.044364112071656976,-0.5436655440497031,-0.0005588006713356724,0.0001567925535335874"
0.034000000000000016,"-1.58344873,-2.0943951023931953,0.06574620684484289,-3.1143435222112386,-1.57268012,0.00907312","-1.586330611495723,-2.2899609716817717,2.708443932486735,-2.0692904862776453,-1.572689101503264,0.009059913823065396","-0.0045365292191906145,-2.0353854845981605,0.0686276374572073,-0.588329592338289,-0.0004771581100867494,0.0001542338912901016"
0.03600000000000002,"-1.58344873,-2.0943951023931953,0.07298842375796122,-1.9150849447349187,-1.57268012,0.00907312","-1.5863251534709084,-2.294059991629942,2.7086252338070254,-2.0705555459113483,-1.5726898369641957,0.009060209574605802","0.00272901240722613,-2.0495099740852507,0.09065066014534642,-0.6325298168513851,-0.00036773046583349025,0.00014787577020311619"
0.03800000000000002,"-1.58344873,-2.0943951023931953,0.10855348369974793,-1.7914686011037364,-1.57268012,0.00907312","-1.586307760024011,-2.298180248189241,2.7088423800477353,-2.071906927964629,-1.5726903870619302,0.009060494862439098","0.008696723448712577,-2.060128279649483,0.10857312035505193,-0.6756910266404181,-0.0002750488671959645,0.00014264391664841296"
0.04000000000000002,"-1.58344873,-2.0943951023931953,0.1315081429848739,-1.760559038030652,-1.57268012,0.00907312","-1.586282443227206,-2.302317656125167,2.709104813098222,-2.0733471123280816,-1.5726907058775474,0.009060766273023815","0.01265839840242702,-2.068703967962928,0.13121652524332414,-0.7200921817263695,-0.00015940780856643974,0.00013570529235881534"
