Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6
-1.5831284234432317,-2.244962713260086,2.7130340141992035,-2.0605822789095405,-1.572644274079926,0.009171275966050996
-1.582912519945129,-2.245067680372562,2.713267170067323,-2.060623664847091,-1.572619295763993,0.009009260927412157
-1.5826811385227215,-2.245120150624019,2.7135682317655836,-2.0606778392681413,-1.57258385337398,0.008830763104911573
-1.5824438654126038,-2.2451348585453035,2.7139188177563955,-2.0607243406543803,-1.5725479291485847,0.0086543534880172
-1.582206538085253,-2.245121990403035,2.7143057148018874,-2.0607630463430877,-1.5725143767439098,0.008481169537475365
-1.5819709068620829,-2.245088622594199,2.7147182209942464,-2.0607957045166834,-1.5724790844182677,0.008312112031127547
-1.5817389565040925,-2.245040269321354,2.7151479619296177,-2.0608241170714887,-1.5724448479207216,0.00814627670318795
-1.5815115355667477,-2.244980944202223,2.715588524672956,-2.0608491710820385,-1.5724115594497967,0.007983678822238542
-1.5812889439685083,-2.244913641964635,2.716035008740005,-2.060871606391946,-1.5723789903458918,0.007824306842819657
-1.581071246978947,-2.244840628377432,2.716483700664169,-2.0608919941666834,-1.572347075779773,0.007668112318350177
-1.580858386191551,-2.2447636289255666,2.7169317997685436,-2.060910771179716,-1.5723157802574,0.007515034971822623
-1.5806502645366713,-2.2446839659508186,2.7173772128181843,-2.0609282709749386,-1.5722851228834112,0.007365013300893192
-1.5804467541558511,-2.2446026516514914,2.717818382788856,-2.0609447500857376,-1.5722550921507041,0.007217987444441558
-1.5802477191831004,-2.244520460162113,2.7182541681543344,-2.060960403722074,-1.57222567093591,0.007073896576902773
-1.5800530230382543,-2.2444379836832984,2.7186837402483066,-2.060975382945696,-1.5721968462424412,0.006932682204239017
-1.579862534231142,-2.2443556739559756,2.7191065099682783,-2.0609898038661765,-1.5721686052966055,0.006794287005540773
-1.5796760720997969,-2.2442738583476025,2.7195220777396534,-2.0610037525455374,-1.5721407330572217,0.006658657123189524
-1.5794934735515385,-2.2441927590194277,2.719930258981602,-2.0610172636577357,-1.5721132247542802,0.006525724266796616
-1.5793149018246981,-2.2441126849958555,2.7203307591914765,-2.061030472925359,-1.5720869202510572,0.006395466303703614
-1.5791400480578028,-2.2440336942613293,2.720723560016481,-2.0610433515782893,-1.5720609707120379,0.00626778634895422
-1.578968874961658,-2.2439559145282,2.721108622079094,-2.0610559683753147,-1.572035340304394,0.006142689414232652
-1.5788012929016195,-2.2438794178181345,2.721485967036361,-2.0610683246367647,-1.5720103692185283,0.006020078235382761
-1.5786371955342078,-2.2438042550528494,2.721855630080354,-2.0610804539332364,-1.5719859491020576,0.005899905070286154
-1.578476498309186,-2.2437304596124568,2.7222176858455267,-2.0610923735093847,-1.5719620317281682,0.005782125936827015
-1.578319125038712,-2.2436580503390484,2.722572232303636,-2.0611040945388988,-1.5719386011825378,0.005666696503139186
-1.5781650036037278,-2.243587034549125,2.7229193824852764,-2.061115625689358,-1.571915648251173,0.005553571424408449
-1.578014111633767,-2.243517413167422,2.7232592833798765,-2.0611269703912947,-1.5718933275199454,0.005442708185021563
-1.5778664123857822,-2.24344914196039,2.723592175914121,-2.0611380902458682,-1.5718716179364975,0.005334047794991113
-1.5777216878564064,-2.2433822684748668,2.723917909701623,-2.061149112306466,-1.571850059625183,0.005227574900271756
-1.5775799219956397,-2.243316753404217,2.724236735398545,-2.061159959312715,-1.5718289287001315,0.005123225015216536
-1.5774411205750558,-2.2432525074482714,2.724549039041067,-2.061170538689969,-1.5718083467276758,0.005020920162113675
-1.577305151967737,-2.2431896445627904,2.724854515433608,-2.0611810989034383,-1.5717881756262246,0.004920715965313256
-1.5768391817985705,-2.242951549197497,2.725210538286778,-2.061394743659536,-1.5715949315829316,0.004823092192657798
-1.5758528400530747,-2.2424437099621652,2.7256472423561884,-2.0618411821722216,-1.571229950236496,0.004727629819198509
-1.5743235035609617,-2.2416312855780545,2.7262058767546367,-2.0625358760389516,-1.570692901206621,0.0046339488715813285
-1.5722520536076725,-2.240494559577106,2.7269184630376273,-2.063489232345759,-1.5699835643414988,0.004541960641856664
-1.5696382027007922,-2.23901935212298,2.727789875437131,-2.0647035138105445,-1.569102873398885,0.004451715112599851
-1.5668968119184048,-2.2375524384411856,2.7288655914195132,-2.066151022768048,-1.568034103108524,0.004362540769696796
