Time,Ctrl,QPos,QVel
2.329999999999965,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5840767119257275,-2.7268841093066576,2.6055300161877786,-2.0566658748232545,-1.5714639275335598,0.004640257811407823","-0.02154410129965076,-8.025233158466186,-2.7513243993433965,-0.00020195872141872605,0.006716989806945332,-0.047253082117911696"
2.339999999999964,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5842401826010644,-2.8099414666074845,2.57535395105548,-2.0566771325386974,-1.5714007207735552,0.004195339700294667","-0.01301689881384736,-8.48292491709146,-3.2003721615366905,-0.0017510044885160497,0.006076229506678172,-0.042715764079519485"
2.349999999999963,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5843242734749938,-2.897111192217026,2.54044188135638,-2.056704232169747,-1.5713429055157315,0.003793134309637746","-0.005458098353001245,-8.861764031169924,-3.690887960657387,-0.00337998151147102,0.005590369643528333,-0.03869645495721004"
2.3599999999999617,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5843395053101166,-2.9875389250339497,2.500355765744914,-2.05674769448955,-1.5712915789033164,0.003429418119101856","0.0010423304785126548,-9.15068707199659,-4.226693784512568,-0.005021821691275016,0.00505439578065793,-0.034917192600312744"
2.3699999999999606,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5842933886817652,-3.0802573537801208,2.454622044880346,-2.0568077507246203,-1.5712433878191778,0.0031012914633844163","0.006906315471507386,-9.338351333245539,-4.811035825113304,-0.006499484527413665,0.004657514550264353,-0.03120604583644017"
2.3799999999999595,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5841920715367066,-3.174187823574177,2.4027390501909807,-2.0568861565846515,-1.5712009357000611,0.0028033677153956565","0.012267933022370801,-9.4139049694047,-5.4467171005344746,-0.008547315886248637,0.004266325540771951,-0.02859028544469087"
2.3899999999999584,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5840363342282124,-3.268152073834552,2.3441875036287807,-2.05698166130953,-1.571160082384138,0.002534748714363918","0.017827449697844867,-9.36806669507676,-6.134437172623167,-0.010461326133690614,0.004161677809673157,-0.02614380848082584"
2.3999999999999573,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5838225341959162,-3.3608954091232213,2.2784441201249193,-2.05709494598224,-1.571124988538516,0.0022916189163864724","0.023882563238659383,-9.194561139249188,-6.874471735602104,-0.011998878981235455,0.0034880147021194323,-0.02331684654261645"
2.409999999999956,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5834382065888817,-3.4121560218903713,2.198671193063479,-2.0596485527658763,-1.5710963119280854,0.002071856724709755","-0.05319960146398343,-2.9562841354707436,-8.682969680674866,-0.30868722438894536,0.0007956154086186063,-0.02098122547111921"
2.419999999999955,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5856774206988091,-3.4208089108107393,2.103692348096375,-2.0624575087597083,-1.5710996576641167,0.001873506625347806","-0.3266655092545577,0.21339286753779357,-9.959037648477247,-0.23853845030233492,-0.0009636878167396851,-0.0190365016816665"
2.429999999999954,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5898711281769913,-3.409756236264557,1.9992214771629804,-2.0636503079262316,-1.5711075111041417,0.001694056048902248","-0.4560148373412769,1.5120464680999512,-10.713638857409325,-0.025143952859369996,-0.0003610177002197572,-0.01734393777012503"
2.439999999999953,"-1.58,-6.283185307179586,-3.01,-2.06,-1.5707963267948966,0.0","-1.5936038979343954,-3.3922475996913324,1.8896441132958934,-2.06320466009217,-1.5710769159478801,0.0015318634442785975","-0.28788099714003273,1.818599672647288,-11.07662096716148,0.050736701194690745,0.004721071913181518,-0.015626615083037792"
