Time,Ctrl,QPos,QVel
1.372000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.22329066898399e-09","-1.5852299946246156,-2.2440077169385777,2.712805083561507,-2.0617451825430795,-1.5726840932512345,0.0064682200166679095","-0.07361198095271769,0.04874491562824376,-0.019804235580595537,-0.04706583713649434,8.657084388677828e-05,-0.06587305170634637"
1.374000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689837256e-09","-1.5853750391663801,-2.243911189293143,2.7127659957776995,-2.061837450922767,-1.5726842883516103,0.006339024288949989","-0.07252227088227702,0.04826382271734893,-0.01954389190382527,-0.04613418984377836,-9.755018798087364e-05,-0.06459786385895996"
1.376000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668983461e-09","-1.5855174828815997,-2.243815803742656,2.7127274272888426,-2.06192787949126,-1.572683934283395,0.006212464047335735","-0.0712218576097259,0.04769277524359515,-0.01928424442852906,-0.045214284246643574,0.000177034107698485,-0.06328012080712701"
1.378000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668983195e-09","-1.5856573749378065,-2.2437217458193963,2.712689500663387,-2.062016493017511,-1.5726837845128387,0.006088457248989609","-0.06994602810336281,0.047028961629878345,-0.018963312727790463,-0.04430676312542634,7.488527804718062e-05,-0.06200339917306327"
1.380000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668983225e-09","-1.5857929410329157,-2.2436288848838912,2.7126518808521793,-2.0621033610652284,-1.572679418368904,0.005967028797349197","-0.06778304755458406,0.046430467752475835,-0.018809905603827,-0.04343402385872518,0.002183071967426123,-0.06071422582020557"
1.382000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668983255e-09","-1.5859282133107633,-2.243538063471371,2.7126153472343497,-2.0621884657312872,-1.5726829110171685,0.005847934937633579","-0.06763613892376572,0.04541070626026958,-0.018266808914853307,-0.042552333029315895,-0.001746324132343912,-0.05954692985780903"
1.384000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668983285e-09","-1.5860609876421912,-2.2434488277312874,2.712579429455398,-2.062271909281735,-1.5726840554058927,0.005731221913140463","-0.06638716571392426,0.04461787004176122,-0.017958889475691943,-0.04172177522402507,-0.0005721943621616802,-0.058356512246558"
1.386000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.2232906689833145e-09","-1.5861909288335154,-2.2433611528541695,2.7125441188181316,-2.0623536906265585,-1.5726841083829886,0.0056168260419508205","-0.06497059566213109,0.043837438558918224,-0.017655318633272087,-0.0408906724117018,-2.6488547954804436e-05,-0.05719793559482139"
1.388000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.223290668983087e-09","-1.5863181404484439,-2.2432750928695557,2.7125094622725356,-2.062433835712416,-1.572683988904797,0.0055047086105962425","-0.06360580746427985,0.04302999230677944,-0.017328272797958465,-0.04007254292873627,5.9739095772362946e-05,-0.05605871567728881"
1.390000000000001,"-1.5923697490650908,-2.23558660138584,2.7029491409704076,-2.0671427921518664,-1.572676790077201,-4.22329066898286e-09","-1.5864427297298695,-2.2431906808413187,2.712475485477916,-2.062512375324783,-1.5726838774805811,0.005394828515210609","-0.06229464071288142,0.04220601411853672,-0.01698839730980044,-0.039269806183439046,5.57121079533295e-05,-0.05494004769281649"
