Time,Ctrl,QPos,QVel
0.020000000000000004,"-1.58344873,-2.0943951023931953,-0.1837464430797522,-3.141592653589793,-1.57268012,0.00907312","-1.5856901866564148,-2.262721340073434,2.709012820585788,-2.0680961291549274,-1.5726804674282246,0.009057251681319097","-0.11073980770347354,-1.6640375257777944,-0.10837679821555235,-0.7500077763990667,-0.00021304315522990825,0.0002711237825141433"
0.022000000000000006,"-1.58344873,-2.0943951023931953,3.1389433908716526,-3.141592653589793,-1.57268012,0.00907312","-1.5858725904519808,-2.2662631442693324,2.7088196339707924,-2.06975428885595,-1.5726814714692465,0.00905770117137269","-0.09120189778297748,-1.7709020979492207,-0.09659330749799906,-0.8290798505112869,-0.0005020205109516219,0.00022474502679671897"
0.024000000000000007,"-1.58344873,-2.0943951023931953,-0.1493730645019915,-3.141592653589793,-1.57268012,0.00907312","-1.5860356250242642,-2.269975503761682,2.7088495886609643,-2.0716294605845293,-1.5726821142611325,0.009058064023164735","-0.0815172861416503,-1.8561797461746816,0.014977345085907312,-0.9375858642896976,-0.0003213959430039336,0.0001814258960225534"
0.02600000000000001,"-1.58344873,-2.0943951023931953,-0.04835110439471757,-3.141592653589793,-1.57268012,0.00907312","-1.5861448569984604,-2.2737953817550487,2.7088468331273012,-2.073658775838937,-1.5726844186370104,0.0090584917730964","-0.0546159870980657,-1.909938996683452,-0.0013777668314417305,-1.0146576272039025,-0.0011521879389764797,0.00021387496583232242"
0.02800000000000001,"-1.58344873,-2.0943951023931953,-0.0008475094050255372,-3.141592653589793,-1.57268012,0.00907312","-1.5862184201262732,-2.277700938755698,2.708875276128597,-2.075858179465371,-1.5726860837274927,0.009058847692508155","-0.03678156390640235,-1.9527785003246434,0.014221500647676903,-1.099701813217132,-0.0008325452412152657,0.00017795970587761775"
0.030000000000000013,"-1.58344873,-2.0943951023931953,0.035084567424487734,-3.141592653589793,-1.57268012,0.00907312","-1.5862647821176996,-2.2816722497342825,2.7089510950840263,-2.078233706248079,-1.5726869910514156,0.009059262557015623","-0.023180995713154677,-1.985655489292288,0.037909477714796566,-1.187763391354031,-0.00045366196139351087,0.00020743225373385634"
0.032000000000000015,"-1.58344873,-2.0943951023931953,0.0492049804192245,-3.141578609576232,-1.57268012,0.00907312","-1.5862899747949115,-2.2856936875895904,2.7090801769223525,-2.080787835499717,-1.5726879965087257,0.00905962397970719","-0.012596338605975588,-2.010718927653969,0.06454091916308358,-1.277064625818977,-0.0005027286550475777,0.00018071134578352989"
0.034000000000000016,"-1.58344873,-2.0943951023931953,0.06574620684484289,-3.1143435222112386,-1.57268012,0.00907312","-1.5862973706247956,-2.28975263620361,2.7092551555104434,-2.083519046321909,-1.5726888365312193,0.009059939286648666","-0.003697914941988968,-2.0294743070096364,0.08748929404549359,-1.365605411096064,-0.00042001124681723774,0.00015765347073860657"
0.03600000000000002,"-1.58344873,-2.0943951023931953,0.07298842375796122,-1.9150849447349187,-1.57268012,0.00907312","-1.5862904768925306,-2.293839989341193,2.7094721936071617,-2.086426331206081,-1.572689378393883,0.009060225421136738","0.0034468661324824285,-2.043676568791615,0.10851904835916006,-1.453642442086196,-0.0002709313318279158,0.000143067244035891"
0.03800000000000002,"-1.58344873,-2.0943951023931953,0.10855348369974793,-1.7914686011037364,-1.57268012,0.00907312","-1.586271897159272,-2.2979486703210874,2.709723575214179,-2.0895074702540524,-1.5726897275801404,0.00906050044174614","0.009289866629294253,-2.0543404899471054,0.12569080350849787,-1.5405695239855641,-0.00017459312877961616,0.00013751030470155658"
0.04000000000000002,"-1.58344873,-2.0943951023931953,0.1315081429848739,-1.760559038030652,-1.57268012,0.00907312","-1.586245649900747,-2.3020745378886764,2.7100191059650616,-2.092764762852205,-1.57268987192652,0.009060758652976729","0.013123629262549036,-2.062933783794525,0.1477653754414061,-1.6286462990761246,-7.217318991841382e-05,0.00012910561529436756"
0.04200000000000002,"-1.58344873,-2.0943951023931953,0.1479546191323342,-1.7201828735499067,-1.57268012,0.00907312","-1.586213648299397,-2.3062137146867476,2.710358989047383,-2.096198065976859,-1.572689911803423,0.009061009572571091","0.01600080067501679,-2.069588399035675,0.16994154116065946,-1.7166515623271146,-1.9938451418511652e-05,0.00012545979718097414"
0.044000000000000025,"-1.58344873,-2.0943951023931953,0.1614574700374165,-1.688018899185557,-1.57268012,0.00907312","-1.586179994142378,-2.310368728649173,2.71071859418011,-2.099627059393064,-1.5726897797651938,0.009061264129711933","0.01682707850946696,-2.077506981212636,0.17980256636349634,-1.7144967081027327,6.601911466543687e-05,0.00012727857042114246"
0.04600000000000003,"-1.58344873,-2.0943951023931953,0.17453712800052834,-1.668897506588518,-1.57268012,0.00907312","-1.5861439054278355,-2.3145362097366524,2.711098342508501,-2.102996037467577,-1.5726896465410776,0.009061513090262993","0.01804435727126468,-2.0837405437396224,0.18987416419546077,-1.6844890372563763,6.661205804152129e-05,0.00012448027552969414"
0.04800000000000003,"-1.58344873,-2.0943951023931953,0.18981439320565974,-1.6412455929010352,-1.57268012,0.00907312","-1.586104964605677,-2.3187123095527,2.7115035727089043,-2.1063212502272295,-1.572689754344083,0.009061857228927396","0.019470411079145506,-2.088049908023897,0.20261510020160142,-1.6626063798261923,-5.390150268476568e-05,0.00017206933220113938"
0.05000000000000003,"-1.58344873,-2.0943951023931953,0.20147841460182647,-1.6034814276891152,-1.57268012,0.00907312","-1.5860643916269612,-2.322895779664555,2.7119338117111935,-2.1095946600643507,-1.5726897089268363,0.00906201001663447","0.020286489357896096,-2.091735055927477,0.2151195011445576,-1.6367049185606315,2.270862336365609e-05,7.639385353761835e-05"
0.05200000000000003,"-1.58344873,-2.0943951023931953,0.22752313137739266,-1.5020868330886903,-1.57268012,0.00907312","-1.5860225929782439,-2.327085547927671,2.7123865239082,-2.1127964004263906,-1.5726894613179296,0.009062229899538138","0.02089932435867473,-2.094884131558068,0.22635609850314747,-1.6008701810198802,0.0001238044533290404,0.00010994145183416775"
0.054000000000000034,"-1.58344873,-2.0943951023931953,0.26590261163679685,-1.1218901067689653,-1.57268012,0.00907312","-1.5859821081290433,-2.3312841683989776,2.7128573513080023,-2.1158198154143983,-1.5726891379519483,0.009062450757196154","0.020242424600341265,-2.0993102356531392,0.23541369990129943,-1.5117074940038144,0.0001616829906608182,0.00011042882900789808"
0.056000000000000036,"-1.58344873,-2.0943951023931953,0.2868862404320196,-0.016661068674671764,-1.57268012,0.00907312","-1.5859430370601175,-2.335490436788646,2.7133624488293546,-2.1186439034593803,-1.5726894156570936,0.00906272659554318","0.01953553446292597,-2.103134194834414,0.2525487606761582,-1.4120440224910074,-0.0001388525726259437,0.00013791917351303423"
0.05800000000000004,"-1.58344873,-2.0943951023931953,-0.3558764271559314,-0.9921685495625603,-1.57268012,0.00907312","-1.585904448588606,-2.339702665149472,2.7139039393326505,-2.121269305749518,-1.5726891149329776,0.009062848451771258","0.019294235755738534,-2.1061141804128707,0.2707452516479273,-1.3127011450688395,0.00015036205804788065,6.0928114038487593e-05"
0.06000000000000004,"-1.58344873,-2.0943951023931953,0.23676072173725293,-1.6037928302831403,-1.57268012,0.00907312","-1.5858495624898308,-2.343908081549444,2.7143014503033527,-2.1236479759117497,-1.5726893411713934,0.009063070440863925","0.027443049387603922,-2.1027081999859334,0.19875548535104345,-1.18933508111591,-0.00011311920790950809,0.00011099454633317147"
