Time,QPos,QVel,Ctrl
0.20200000000000015,"-1.6055027811972613,-2.245963183336343,2.709995781475666,-2.0652868660030506,-1.5765282232474214,1.2336723557043966e-07,0.6792312206698898,-4.296118284118572e-05,0.6777766693681587,-0.6516146243606066,0.679324184789794,-0.0013813366220973232,0.6773172599578927,-0.6506497880438318","0.06113436162718838,0.03454692651482842,-0.03474431109524712,-0.006873355732246636,0.014344740909517022,-1.7022363507051667e-06,0.2767494453262362,0.03004400606640774,0.41288662762127276,-0.34267291421426377,0.2748007553033199,-0.07470237616689179,0.3303410524626837,0.009794352044159415","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.21200000000000016,"-1.6049055409572368,-2.2456172932362093,2.7096544387790082,-2.065355721505004,-1.5763869188297952,1.0714874454959656e-07,0.6819835415447127,-0.00017952902709984734,0.6807005795584395,-0.6545300435142003,0.6820339675590711,-0.0017918385413346215,0.6800860453919159,-0.6515861056787422","0.05772521694276,0.034674961433092115,-0.033056126341959084,-0.006875734034589767,0.013756942102943079,-1.4824452956499217e-06,0.24987356003358308,-0.044667525432456195,0.236340386103456,-0.1793944921249686,0.23526837223735142,0.03539451042518964,0.2678717817715336,-0.21462045006103464","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.22200000000000017,"-1.6043415634331253,-2.2452705527232437,2.709332440346918,-2.065424033866572,-1.5762516693379514,9.280537054653975e-08,0.6843973778991144,-5.689604790594224e-05,0.68374302754055,-0.6568785400852745,0.6843770132555492,-0.0012144604242403892,0.6832110118236475,-0.6545298378913958","0.054478420646241144,0.03461138233654714,-0.03100581815087013,-0.006762423547645668,0.013198308437850505,-1.3329327696328668e-06,0.22684469647381905,0.08175260770353093,0.3146671055786754,-0.35285110501677,0.22667937334283195,0.11323282540288018,0.3213621289865335,-0.41977528977777756","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.23200000000000018,"-1.6038082914819893,-2.244925925288741,2.7090282627908593,-2.0654913015396397,-1.5761214333807316,8.023278548558422e-08,0.6866814848021324,-6.117144727195857e-05,0.6859460620686317,-0.6592104088591998,0.6866068124288001,2.848952801050313e-05,0.6861530661562104,-0.659145438116472","0.05164584904943177,0.03421968046941469,-0.029510178943880708,-0.00666095687198427,0.012697434373947351,-1.171876749680173e-06,0.2451593736224711,0.56401058538955,0.042123963400221315,0.15543415753186857,0.2365557983912849,-0.39163750184631685,0.15109628542164957,-0.21189162058890765","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.2420000000000002,"-1.6033027590493334,-2.244585593675333,2.708739921588606,-2.0655573088284296,-1.575996070829165,6.912272182629333e-08,0.6886760881931409,0.0005111867238695976,0.6878829302699495,-0.6601580633548868,0.6886156242415765,-0.0006504747126198779,0.6880618196642942,-0.6605355069799029","0.04900503696227822,0.03374002959184651,-0.02787459469833305,-0.006509500598680649,0.012285196549700946,-1.0207566896849775e-06,0.18320328511659045,-0.05482683381479626,0.24691423242443386,-0.2510342020597732,0.18898656399658745,0.06782888598429307,0.23150466158976613,-0.21299264480059538","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.25200000000000017,"-1.6028221109847545,-2.2442502880208837,2.7084670384233065,-2.065621812941848,-1.575874782199925,5.945843302853205e-08,0.6904676828120033,0.0001942274655603916,0.6901420017301972,-0.6625550107128677,0.6904515022863441,0.00013918361043099798,0.6903792356769692,-0.6632588632902869","0.046753859637757814,0.0331936975849137,-0.026484504887783665,-0.006362672963012707,0.01191701347439514,-8.706924161133538e-07,0.18027248133884638,0.01332508016108476,0.152038549695437,-0.2121550766980792,0.19486465018771132,0.1595656248002781,0.07918164087007132,-0.12663325244701468","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.2620000000000002,"-1.6023632547397122,-2.2439205783608145,2.7082076259293877,-2.065684864163283,-1.5757570607487341,5.1006088694737246e-08,0.6920527594818444,-0.0009794283216853989,0.6914469678872796,-0.6638793702152372,0.6922310143008039,0.0002033727587973323,0.6910256658768964,-0.6640882753204024","0.04467303098084752,0.03265787596047006,-0.025141961915869315,-0.006212228331799466,0.011581482779563612,-7.669121670597791e-07,0.14977726343307468,0.029673392484621627,0.16697870931917624,-0.06096607261193128,0.14766700420110448,-0.0472217236043571,0.22650038085254412,-0.10591852787805778","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.2720000000000002,"-1.601923878346533,-2.2435960938595407,2.70796128408988,-2.065746335437619,-1.5756424867914867,4.366816689266973e-08,0.6935482351520527,-0.0004035473573769238,0.6932301775261311,-0.6653440855762897,0.6936425626721504,5.4416345232613075e-05,0.6931448620034217,-0.6656136617590633","0.04285955920742,0.03212224932366665,-0.023888337995556397,-0.006047625282940113,0.011280712924938572,-6.826194009164822e-07,0.1436187005876552,0.0996675793772972,0.19387613619460128,-0.2748763951444751,0.13379908592309733,0.002304763451627339,0.1770009748518136,-0.16605690735917067","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.2820000000000002,"-1.6015020454016875,-2.243277241987718,2.707727002015978,-2.065806140573222,-1.5755307033032857,3.719725224514311e-08,0.6949826443729731,0.00044872759415942034,0.6946278380598301,-0.667350982285935,0.6949706832475462,0.0001963547106358997,0.6946060956832627,-0.6671206613739397","0.04122479424445418,0.031522967087961505,-0.022769559311096157,-0.005883257584885486,0.01107102852607108,-5.896681877047162e-07,0.17248423352222353,-0.01789879735123661,-0.22359740087845617,-0.02715482007939647,0.13324735915870933,-0.3405667294761371,0.005586774329195562,-0.12323336161678887","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.2920000000000002,"-1.6010961864590705,-2.242964488908085,2.707503817642725,-2.065864234203051,-1.5754215526903934,3.146175153149226e-08,0.6962430496558651,4.8674232305926505e-05,0.6953861155295541,-0.6678891197665213,0.6961126306608736,-0.0005337635407203658,0.69560208672786,-0.6677395469569201","0.039601180868448424,0.03087609641976003,-0.0216375134035635,-0.005696066301610717,0.010743835204118361,-5.428407570413131e-07,0.10794088549130348,-0.0054564436878612056,0.18239970346090756,-0.13568041326220126,0.11606487639151933,0.04967853714960063,0.1576483594492297,-0.13563929057203128","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
